No.,RA (deg),Dec (deg),F555W (mag),ErrF555W (mag),F814W (mag),ErrF814W (mag),m_V (mag),m_I (mag),M_I (mag),(V-I) (mag),c_4-8,D_cen (kpc)
1,212.305373,51.242282,22.18,0.01,20.68,0.01,22.1,20.68,−10.63,1.43,0.41,10.96
2,212.284904,51.230894,22.64,0.01,21.79,0.01,22.59,21.7,−10.14,0.9,0.52,8.4
3,212.301603,51.243946,22.93,0.01,21.98,0.01,22.88,21.97,−9.85,0.91,0.59,12.01
4,212.301313,51.218302,23.12,0.01,21.82,0.01,23.06,21.82,−9.68,1.24,0.39,3.93
5,212.319245,51.223368,23.88,0.02,22.96,0.01,23.84,22.958,−8.90,0.88,0.56,5.84
6,212.298561,51.220217,23.81,0.02,22.85,0.01,23.76,22.849,−8.98,0.91,0.58,3.37
7,212.303981,51.237101,23.85,0.01,22.96,0.01,23.81,22.96,−8.93,0.85,0.54,7.77
8,212.286567,51.213581,23.84,0.01,22.91,0.01,23.8,22.9,−8.94,0.89,0.59,9.5
9,212.299176,51.218954,23.93,0.02,22.97,0.01,23.88,22.96,−8.85,0.92,0.55,3.88
10,212.310203,51.215676,23.98,0.02,23.09,0.01,23.93,23.09,−8.80,0.84,0.62,5.86
11,212.312055,51.221985,24.29,0.02,23.27,0.01,24.24,23.27,−8.50,0.97,0.62,3.39
12,212.320992,51.221122,24.34,0.02,23.36,0.01,24.3,23.36,−8.44,0.93,0.55,6.78
13,212.315175,51.222245,24.32,0.02,23.43,0.01,24.27,23.42,−8.46,0.85,0.62,4.44
14,212.326368,51.218505,24.34,0.02,23.75,0.02,24.31,23.74,−8.43,0.56,0.72,9.28
15,212.30215,51.236079,24.62,0.02,23.69,0.01,24.58,23.69,−8.16,0.89,0.65,7.19
16,212.30614,51.230121,24.69,0.02,23.79,0.02,24.64,23.79,−8.09,0.85,0.67,3.57
17,212.32689,51.211341,25.19,0.03,23.82,0.02,25.12,23.81,−7.61,1.31,0.73,11.88
18,212.291674,51.213666,24.79,0.03,23.86,0.02,24.74,23.86,−7.99,0.88,0.54,8.18
19,212.292061,51.206527,24.76,0.03,23.98,0.02,24.72,23.976,−8.01,0.74,0.68,11.95
20,212.299931,51.225688,24.73,0.03,24,0.02,24.69,24,−8.04,0.69,0.61,1.8
21,212.293856,51.224565,24.66,0.03,23.92,0.02,24.62,23.92,−8.11,0.7,0.55,3.97
22,212.306118,51.230356,24.83,0.03,24.02,0.02,24.79,24.02,−7.95,0.77,0.63,3.71
23,212.310482,51.229573,24.91,0.03,23.99,0.02,24.86,23.98,−7.87,0.87,0.52,3.98
24,212.301336,51.219762,25.36,0.05,23.97,0.02,25.29,23.97,−7.44,1.33,0.42,3.07
25,212.299695,51.226278,25.08,0.03,24.14,0.02,25.04,24.14,−7.70,0.9,0.54,2.06
26,212.303734,51.223784,24.93,0.03,24.23,0.02,24.89,24.23,−7.84,0.67,0.4,0.44
27,212.324322,51.213237,25.09,0.03,24.21,0.02,25.05,24.2,−7.69,0.84,0.65,10.37
28,212.276346,51.225082,25.13,0.03,24.25,0.02,25.09,24.25,−7.64,0.84,0.58,10.71
29,212.303447,51.223879,25.94,0.07,24.42,0.02,25.87,24.417,−6.87,1.45,0.43,0.44
30,212.29168,51.242439,25.44,0.04,24.48,0.03,25.39,24.48,−7.34,0.91,0.72,12.05